;BAIRRO;lat;lon
0;AMENDOEIRA;-22,8297603;-42,9833145
1;CENTRO;-22,8272883;-43,0637646
2;BOACU;-22,8092415;-43,0526972
3;MONJOLOS;-22,8190707;-42,9417987
4;TRIBOBO;-22,8597044;-43,0335077
5;PORTO NOVO;-22,8225828;-43,0766564
6;PACHECO;-22,824457;-42,9690171
7;SANTA CATARINA;-22,8385913;-43,0662628
8;MUTUA;-22,8130159;-43,0411884
9;PORTO DO ROSA;-22,7959312;-43,0393139
10;JARDIM CATARINA;-22,7921669;-42,9997977
11;VENDA DA CRUZ;-22,86055;-43,088999
12;MARAMBAIA;-22,7960859;-42,9405738
13;BOA VISTA;-22,8134189;-43,0626713
14;ZE GAROTO;-22,8308235;-43,0579812
15;GALO BRANCO;-22,8288486;-43,0321537
16;COLUBANDE;-22,8380031;-43,0145858
17;COELHO;-22,835891;-42,991026
18;SANTA IZABEL;-22,8577375;-42,9440615
19;PARAISO;-22,8333904;-43,0790318
20;LINDO PARQUE;-22,835401;-43,0567452
21;TRINDADE;-22,8078163;-43,0168496
22;ITAUNA;-22,7917073;-43,0298226
23;BANDEIRANTES;-22,8297603;-42,9833145
24;ALMERINDA;-22,8389242;-43,00343
25;GRADIM;-22,8266837;-43,0845289
26;ROCHA;-22,8329913;-43,0418922
27;COVANCA;-22,8513075;-43,0906588
28;GUAXINDIBA;-22,7765233;-42,966482
29;PORTO DA MADAMA;-22,8331056;-43,0862469
30;NOVA CIDADE;-22,8087959;-43,0238183
31;BRASILANDIA;-22,8234479;-43,0573248
32;MARIA PAULA;-22,8740993;-43,023337
33;PITA;-22,8470616;-43,0745956
34;JOQUEI CLUBE;-22,8467882;-42,9983438
35;MUTONDO;-22,8205789;-43,0212241
36;LUIZ CACADOR;-22,7952345;-43,0207043
37;SANTA LUZIA;-22,800892;-42,9783484
38;SACRAMENTO;-22,8330357;-42,9606364
39;RIO DO OURO;-22,8982316;-42,9942978
40;BARRO VERMELHO;-22,840763;-43,0783994
41;NEVES;-22,8581883;-43,0956199
42;FAZENDA DOS MINEIROS;-22,7814636;-43,0310092
43;PORTO VELHO;-22,8384884;-43,0901504
44;MUTUAPIRA;-22,8033331;-43,0309626
45;BOM RETIRO;-22,7967273;-42,9605491
46;TENENTE JARDIM;-22,8640893;-43,0853582
47;ALCANTARA;-22,8201441;-43,004599
48;CAMARAO;-22,8257854;-43,0639463
49;VISTA ALEGRE;-22,8076673;-42,9602131
50;VILA LAGE;-22,8458529;-43,0894031
51;NOVO MEXICO;-22,8698907;-43,0457771
52;SAO MIGUEL;-22,8175837;-43,0318866
53;ZUMBI;-22,8519089;-43,0610118
54;IGN;-22,8272883;-43,0637646
55;ESTRELA DO NORTE;-22,8205499;-43,0363389
56;PORTO DA PEDRA;-22,8231815;-43,0622651
57;RAUL VEIGA;-22,824496;-42,995722
58;ANAIA;-22,846447;-42,9990121
59;LARGO DA IDEIA;-22,8237831;-42,9111997
60;SETE PONTES;-22,8460004;-43,0619818
61;LARANJAL;-22,812829;-42,992906
62;ARSENAL;-22,8654545;-43,0073426
63;ANTONINA;-22,8141021;-43,0287431
64;SALGUEIRO;-22,7815204;-43,0242287
65;APOLLO III;-22,7834425;-42,9438267
66;ENGENHO PEQUENO;-22,8460799;-43,052731
67;LAGOINHA;-22,821924;-42,9783967
68;MUTUAGUACU;-22,8130159;-43,0411884
69;BARRACAO;-22,8285024;-42,9586842
70;PARADA QUARENTA;-22,8284369;-43,0639723
71;PATRONATO;-22,8308009;-43,076412
72;MIRIAMBI;-22,8233382;-42,9866413
73;ITAOCA;-22,7813801;-43,0627313
74;JARDIM NOVA REPUBLICA;-22,8509348;-43,0044623
75;JARDIM FLUMINENSE;-22,8263593;-43,0134165
76;VILA IARA;-22,81638;-43,0532972
77;ANAIA PEQUENO;-22,8619209;-42,9959577
78;VILA TRES;-22,8181865;-42,9962105
79;ELIANE;-22,8493814;-42,9585239
80;PIAO;-22,8111425;-43,0267766
81;MUNDEL;-22,8272883;-43,0637646
82;ARRASTAO;-22,8766521;-43,0042249
83;JARDIM CALIFORNIA;-22,8173928;-43,0492379
84;IPIIBA;-22,8698951;-42,9751705
85;VARZEA DAS MOCAS;-22,9057015;-42,9734381
86;PALMEIRAS;-22,7753787;-43,0247463
87;ROSANE;-22,8194124;-43,0554608
88;JARDIM INDEPENDENCIA;-22,8493762;-42,9973974
89;MANGUEIRA;-22,8307246;-43,0694145
90;ENGENHO DO ROCADO;-22,8837487;-42,9817094
91;MATUAGUACU;-22,8130159;-43,0411884
92;TIRADENTES;-22,8287596;-42,9747637
93;AVENIDA MARICA;-22,8273489;-43,0175023
94;IEDA;-22,847283;-42,9501887
95;TRES PONTES;-22,7641601;-42,9013088
96;MOVO MEXICO;-22,8698907;-43,0457771
97;ANAIA GRANDE;-22,8493829;-42,9659919
98;NOVA GRECIA;-22,8602368;-43,036267
99;MORRO DO CASTRO;-22,8650942;-43,0687954
100;PORTAO DO ROSA;-22,7959312;-43,0393139
101;RECANTO DAS ACACIAS;-22,7896427;-43,0231333
102;AMPLIACAO;-22,760819;-42,8613509
103;MONTE VERDE;-22,7963798;-43,0236454
104;PORTO DA  PEDRA;-22,8231815;-43,0622651
105;PORTO DA MADAM;-22,8331056;-43,0862469
106;VILA VISCONDE;-22,7036562;-42,9019079
107;SAO JOSE;-22,8308235;-43,0579812
108;SANTA ISABEL;-22,8577375;-42,9440615
109;AGUA MINERAL;-22,8769736;-42,9961793
110;SANTA TEREZA;-22,9162662;-43,1916361
111;JOCKEY;-22,8467882;-42,9983438
112;BOASSU;-22,8092415;-43,0526972
113;JD ALCANTARA;-22,8272093;-43,0036979
114;JD FLUMINENSE;-22,8263593;-43,0134165
115;JOQUEI;-22,8467882;-42,9983438
116;RETIRO DO ALCANTARA;-22,8507919;-42,9921546
